SOURCE,TARGET,RATING,TIME
13,16,8,1289254254.44746
13,10,8,1289254300.79514
21,1,8,1289441411.46365
21,10,8,1289441438.4426
21,8,9,1289441450.59006
10,1,8,1289555656.32898
10,21,8,1289555745.64663
10,25,10,1289555841.66508
13,1,8,1290520563.53596
1,17,9,1290969236.78019
17,1,9,1291217882.28299
61,20,8,1292823684.25402
71,1,8,1293481551.9652698
119,1,10,1296513384.09698
119,127,10,1296608630.85714
1,2,8,1296629343.6207302
127,119,10,1296772979.2792199
2,3,8,1297570107.33404
1,7,9,1298267256.4207401
2,1,8,1299556897.1178699
39,2,8,1301333302.8747199
33,1,8,1301607874.4924
237,202,10,1301827807.72056
2,62,8,1301898738.21734
80,81,8,1302044652.10865
60,257,10,1302296668.90613
149,25,10,1302791427.3307
279,60,8,1302924331.0387301
283,284,10,1302958659.96369
284,283,10,1303064666.4526699
21,93,8,1303540925.97946
93,21,8,1303540941.34585
313,45,10,1303644082.7625198
57,7,8,1303705452.2132099
4,202,8,1304275176.59281
330,7,10,1304278704.77368
342,395,10,1304281113.55183
410,201,10,1304325483.8362699
198,2,8,1304347161.8605301
219,1,10,1304559545.49177
397,278,8,1304577636.8852198
51,451,10,1304606969.23015
451,51,10,1304607136.43816
486,1,10,1304845904.9114199
21,490,8,1304865878.74992
64,104,10,1304874588.41099
132,7,10,1304899208.17089
111,499,10,1304957446.40395
499,111,10,1304957472.02899
490,21,8,1304987782.19366
520,484,10,1305130097.2141
144,202,8,1305142346.7307699
202,144,8,1305142401.58004
300,529,10,1305238757.93153
529,300,10,1305239197.3707302
571,570,10,1305468084.04682
570,571,10,1305468211.99037
581,159,10,1305561771.02052
588,587,10,1305628567.38811
602,159,10,1305647124.03892
200,623,10,1305704401.95244
484,304,10,1305735770.2093801
628,605,8,1305759412.4058
623,200,10,1305769595.72884
113,7,8,1305830962.48638
395,342,10,1305845332.69894
636,635,10,1305853623.5924401
650,651,10,1305925330.4946802
651,650,10,1305925819.02547
691,523,10,1306256819.78752
678,717,9,1306510359.6834302
184,720,10,1306515538.708
721,64,10,1306517833.9427302
720,184,10,1306518922.73962
717,678,9,1306525150.7004302
167,2,8,1306782449.1981301
167,245,8,1306782452.52336
167,223,8,1306782459.08848
167,39,8,1306782464.35839
39,167,8,1306782884.30108
39,223,8,1306782898.75198
39,245,8,1306782901.79601
39,1,8,1306782916.3863802
747,732,10,1306792639.04021
64,770,10,1306906479.89633
770,64,10,1306906533.58707
778,732,10,1306954000.35239
780,814,10,1307044315.13222
814,780,10,1307044316.2063
353,1,10,1307051141.08706
9,1,10,1307079616.79615
61,109,10,1307125676.67541
753,840,8,1307127963.09372
769,847,10,1307147073.91592
847,769,9,1307149814.24683
824,623,8,1307175686.14042
911,908,10,1307310168.19733
911,548,10,1307310180.61034
911,832,10,1307310216.93699
923,920,10,1307413682.2623
922,894,10,1307453986.47803
832,920,10,1307484510.79476
198,534,10,1307509354.71856
977,610,10,1307526336.74756
977,923,10,1307527425.37638
249,241,8,1307552148.05063
418,489,9,1307561063.51115
489,418,9,1307561491.00056
1012,554,10,1307585128.50814
687,908,10,1307585335.36126
908,1013,10,1307587660.1482902
832,25,10,1307589524.28958
1013,908,10,1307591807.12293
4,13,8,1307592205.3629
1024,832,8,1307614262.98963
1023,923,10,1307614279.79078
1027,832,9,1307616866.68731
832,241,10,1307627453.49948
13,4,8,1307638649.53879
950,678,8,1307642325.0173302
540,475,10,1307653158.6744301
353,1046,8,1307661865.88718
920,832,10,1307670458.6993198
922,606,10,1307670990.2410002
19,7,9,1307675825.15113
19,1,9,1307676356.77619
1014,777,10,1307683051.78848
1026,908,10,1307700864.73325
533,1068,10,1307743411.8053
533,530,10,1307752976.09666
1074,733,8,1307761365.28918
760,1076,10,1307764705.40095
606,908,10,1307778376.06566
777,1014,10,1307781070.41231
1092,908,10,1307809211.3127902
64,1094,10,1307810817.55001
1094,64,10,1307811046.41236
1092,492,10,1307849901.74215
492,908,10,1307850053.7005
576,104,10,1307850436.12784
1109,923,10,1307867632.74485
1065,1119,10,1307940507.78353
922,953,10,1307964124.0279
922,1122,10,1307966101.17858
1122,922,10,1307987460.56671
1125,882,10,1307998166.5730698
1133,710,10,1308071953.26824
710,1133,10,1308072006.60538
1013,1092,10,1308075544.53752
1092,1013,10,1308075666.01038
1095,1092,10,1308076364.69397
1095,908,10,1308076997.80534
1139,1140,10,1308077594.9184802
1,197,8,1308241990.8788302
1,60,8,1308241997.65013
1,41,8,1308242001.80995
1,39,8,1308242007.21927
1,6,8,1308242030.65683
353,134,10,1308272887.60284
484,593,10,1308274336.0009902
270,1174,10,1308288472.9744802
198,959,10,1308330943.1891599
959,198,10,1308335383.09762
882,7,10,1308373641.42648
500,1191,10,1308542693.22185
768,1196,8,1308555832.56656
1196,768,8,1308556236.91449
1191,500,10,1308557386.1047301
1232,923,10,1308736391.39745
1084,1100,10,1308851197.5590599
1100,1084,10,1308851307.67882
908,1257,10,1308976772.40936
1257,908,10,1308984967.23784
1260,1037,10,1309026031.83007
1260,1261,10,1309026405.73059
1260,1166,10,1309026526.18081
1257,4,9,1309391278.16517
1174,270,10,1309401977.05496
1285,923,10,1309417253.56783
1217,775,9,1309460352.28789
1291,1277,10,1309635222.74103
1277,1291,10,1309641588.36807
540,626,10,1309651562.23315
626,540,10,1309651686.565
1261,1260,10,1309671838.34342
997,1217,8,1309785033.96175
1217,997,8,1309800986.3699
468,566,10,1309863842.9151301
1098,7,10,1309947717.28345
1119,1065,10,1310107934.40628
911,1326,10,1310444039.92699
1326,911,10,1310555148.8492699
1268,1094,10,1310843024.03751
113,1340,10,1310960140.42118
1094,1268,9,1311166518.34405
283,7,10,1311397220.10367
1358,518,10,1311554658.83952
518,1358,10,1311554712.9410698
708,1363,8,1311616185.52176
41,7,9,1311654509.86845
1267,1328,10,1311766225.7902
1328,1267,10,1311768826.30225
1363,708,8,1312157637.28881
1381,1368,10,1312228128.19495
1267,921,10,1312293401.0720901
786,25,10,1312349215.33253
1352,1,10,1312398530.9222
1384,1201,10,1312405245.3124301
1385,882,10,1312561589.62341
1267,546,10,1312601992.43034
1207,882,10,1312891813.1338801
882,1207,10,1312931930.5580099
1396,60,8,1312936503.39132
1384,635,10,1313445352.71222
1185,801,10,1314013337.33544
935,7,10,1314060014.3092
88,101,9,1314072083.6277301
801,1185,8,1314149352.13181
465,882,8,1314756627.4451401
540,1,10,1316463436.3342302
35,1437,10,1317205991.63175
1396,1201,9,1317319183.1622698
1201,1396,9,1317319425.1222699
88,1501,10,1317588867.4592302
775,1437,9,1318023670.20747
660,1545,10,1320097728.15714
1556,465,8,1320681843.81304
775,1354,8,1321530491.73956
775,1217,9,1321530531.03275
1572,1600,10,1322049770.2641802
1354,775,8,1322206277.1173801
41,1386,8,1322877388.1152
10,41,8,1323398450.66922
1629,25,10,1323398651.82621
1631,1290,10,1323442950.74821
178,1,8,1323497250.8124
41,1,8,1323744945.18438
899,1643,9,1323799971.7687302
1541,25,10,1323917484.50493
1648,1566,10,1323998689.94865
1568,1663,10,1324445617.16337
1630,545,10,1324456906.86446
775,1669,10,1324593893.67434
1217,1669,10,1324596592.79122
1217,1437,9,1324596651.8777
1657,1566,10,1324875617.1036599
1437,1669,10,1325095111.71797
1689,1,10,1325551509.3280401
1690,1,10,1325551556.15123
1690,25,10,1325602259.3519099
1662,1701,10,1326042196.47695
540,7,10,1326085154.11179
1700,1708,8,1326250885.58558
1708,1700,8,1326251170.2714698
39,415,8,1326812066.33775
415,39,8,1327407036.34424
540,1386,10,1327452776.43404
1759,1591,10,1328043914.97118
1763,1744,10,1328362230.57189
1771,25,10,1328605878.88165
1779,1787,8,1328916913.3018
1787,1779,10,1328916944.67098
1585,25,10,1329816993.56019
465,1556,8,1330203702.35017
425,1,10,1330219290.55436
1386,1,8,1330219627.0765
1201,1386,9,1330572222.89391
104,23,10,1330644668.00861
1839,1840,8,1330750591.6679099
1656,1185,8,1331135152.74891
1185,1656,8,1331135948.9333699
1201,25,10,1331157102.37055
1487,25,10,1331400856.5831301
415,1492,8,1331893456.3579
1492,415,8,1331893468.14651
1318,1877,10,1331996915.53559
1566,1201,8,1332289656.1902199
1566,1386,10,1332289702.8540099
425,1566,8,1332289896.49555
1201,1566,8,1332289923.4763901
1860,1,10,1332508018.55087
882,178,10,1332612446.4878302
1386,1566,8,1332892740.17901
1201,1,10,1333411658.73636
1,1201,8,1333421158.4033802
1566,1769,8,1333496836.6256402
1201,1363,8,1333904170.05754
1201,537,8,1334080010.2149198
1386,135,8,1334204189.33586
1701,1860,8,1334340493.39957
1860,1701,8,1334341218.81693
1771,1860,9,1334460736.76932
1984,1,10,1335049791.59853
1995,1840,10,1335144492.92657
1685,1839,10,1335212726.06701
1896,1771,10,1335316584.30261
1771,1896,10,1335316638.74651
1620,1386,10,1335643953.77557
1656,1,9,1335688305.14292
2026,1957,10,1335981438.81986
1528,25,10,1336104476.5372698
2040,1690,9,1336258565.5687802
2014,1855,10,1336581534.41802
340,1690,8,1336588156.8399801
823,1,10,1337217522.87607
823,2078,10,1337217826.40963
1615,2080,10,1337383477.26979
2080,1615,10,1337388570.132
2080,2082,10,1337469439.13518
2080,25,10,1337469767.53374
2082,2080,10,1337469951.43684
425,1201,10,1337530076.01409
425,309,10,1337530152.4483
2087,35,10,1337632352.73522
1383,425,9,1337872386.40797
1383,1201,9,1337872404.43312
1383,1386,9,1337872430.77108
1383,1,9,1337872448.90512
1383,1316,9,1337872521.98737
1383,7,9,1337872542.39403
1478,2040,8,1337886655.6019
1899,1473,8,1337968562.6066802
1473,1899,8,1337970032.26581
1204,2028,10,1339183681.26945
1846,1386,10,1339907523.57496
1386,1846,8,1339916635.41744
2028,2214,10,1340334465.51151
215,1566,8,1340670991.44945
304,25,10,1340730999.1833198
2240,2080,10,1340903814.38031
1204,2125,10,1341025207.59666
1620,722,10,1341094280.82754
1529,905,8,1341283800.1610901
2200,1620,10,1341333496.79997
1620,2200,10,1341333789.75386
905,1386,10,1341381950.08512
425,1386,9,1341431942.90902
1566,215,9,1341602159.10111
425,1317,9,1341626943.35825
1386,425,9,1341627072.38915
1878,25,10,1341632490.54687
988,2305,10,1342383271.05302
2305,988,10,1342383312.21682
2303,25,10,1342466369.60428
988,2313,8,1342476331.54242
1896,2076,10,1342561879.82534
2076,1896,10,1342583835.77634
1829,25,10,1342671133.0734198
2241,1121,10,1342737297.28772
1121,2241,10,1342737853.00535
1204,1899,10,1343077062.43917
1899,1204,8,1343092077.09492
1,4,10,1343107173.27381
4,1,10,1343107243.5032198
1585,1,9,1343107428.4595401
2125,2349,8,1343226336.49469
2311,1201,10,1343235894.0095
1316,1366,8,1343241225.50184
1316,425,8,1343254586.6640801
425,1316,8,1343254657.79726
1366,1,10,1343366691.2932599
2230,2118,8,1343407221.47855
732,2176,8,1343547662.40762
2067,1731,10,1343750429.9314
1731,2067,10,1343750461.92133
2305,2377,10,1343850923.28614
2377,2305,10,1343851158.03658
2377,2313,10,1343851347.20414
2311,2167,10,1344062978.0267198
2174,25,10,1344456798.68237
1201,1316,8,1344638098.5469599
1316,1201,8,1344638144.28407
1948,1615,10,1344889342.59156
2118,2230,8,1344929343.65451
2427,2118,8,1344933151.07602
1615,1948,8,1344935135.87062
2344,25,10,1344982299.45225
2125,2438,8,1345138000.53547
1383,1566,10,1345242623.3568199
2451,1396,10,1345299929.2706401
2132,1624,8,1345401039.44685
1201,4,8,1345615362.48884
4,1201,8,1345615389.63891
2507,1185,10,1346147413.10553
2347,2313,10,1346447884.59083
823,2070,8,1346708053.1814802
2070,823,8,1346708098.91889
304,905,10,1346724018.68714
2523,25,10,1346820984.4345698
2516,2543,9,1346937861.23965
241,249,10,1346959921.3517401
1719,2158,8,1346969085.15628
2540,2548,8,1346981739.15012
2342,2370,10,1347008737.79987
2370,2342,10,1347008804.50665
2472,2067,10,1347063346.58112
1689,25,10,1347094868.84295
2,1363,8,1347122757.62889
2,167,8,1347122785.28266
2,39,8,1347122790.3452802
2,223,8,1347122796.10978
2,245,8,1347122805.28953
2549,2567,10,1347280366.61009
2567,2566,8,1347280395.94365
2566,2568,9,1347280510.24679
2567,2568,9,1347280527.27105
2568,2567,9,1347280546.47723
2569,2568,9,1347280764.34615
304,2198,10,1347594764.41517
304,1899,10,1347594769.96664
1899,304,10,1347594851.94227
2592,2574,10,1347636451.00674
2603,2585,8,1347718315.73813
2603,2601,10,1347718375.10011
2616,35,10,1347895897.0432599
241,1,8,1347924781.84433
2585,2622,9,1347944510.47665
2585,2623,8,1347944522.84687
2622,2623,9,1347944734.47011
2637,2635,9,1348112640.76335
1774,1752,8,1348160243.05225
132,1,10,1348246186.71797
2659,2658,10,1348384720.0083401
2670,2669,10,1348573715.08587
2657,2670,8,1348573865.7103
2670,2657,8,1348573948.17264
2670,2671,9,1348576009.53113
2670,2672,9,1348576076.7430902
2670,2633,9,1348576087.9075902
2657,2672,9,1348576699.89644
2675,2633,9,1348578839.1838
2678,2671,10,1348579132.85771
2678,2672,9,1348579179.28091
2672,2067,9,1348579314.8768
2672,2631,10,1348579550.40271
2672,2629,10,1348579576.89285
2672,2632,10,1348579589.54816
2672,2628,10,1348579605.34272
2632,2628,10,1348579848.8248599
2632,2629,10,1348579868.69104
2632,2631,10,1348579890.28684
2632,1543,10,1348579955.58532
2631,2634,10,1348580179.65473
2631,2574,10,1348580219.68577
2631,2666,10,1348580228.06061
2631,2570,10,1348580268.08474
2631,2571,10,1348580289.01227
2628,1810,10,1348580350.7842
2628,1543,10,1348580382.2054698
2628,2574,10,1348580394.8347301
2628,2571,10,1348580413.91832
2628,2548,10,1348580435.09198
2665,1948,8,1348591579.2846901
2680,1543,10,1348602711.6471
2680,2682,10,1348602716.3870199
2680,1810,10,1348603124.74616
2680,2176,10,1348603132.69019
2682,2176,10,1348603206.8471901
2682,1543,10,1348603318.9947698
2682,1810,10,1348603385.94415
2682,2680,10,1348603392.56997
2682,1201,10,1348603405.02919
2680,905,10,1348603603.1280699
1543,2683,10,1348605667.18461
2680,2683,10,1348605752.80402
2682,2683,10,1348605818.31705
2680,2485,8,1348605838.0804698
1543,2682,9,1348605878.13798
1543,2680,10,1348605897.98437
2683,1543,10,1348605906.88803
1543,2684,10,1348606644.36663
2680,2684,10,1348606704.1411
2684,905,10,1348606876.97196
2683,2685,10,1348620261.93723
2685,2683,10,1348620524.11956
1396,1316,8,1348689032.0701098
1396,1386,8,1348689078.45955
2128,2118,10,1348743069.35848
905,57,10,1348775085.18628
2070,1948,8,1348816791.25721
2674,2672,10,1348866471.5896301
2699,2674,10,1348866581.57057
2574,2700,10,1348888772.3090901
2711,1,10,1348917189.55635
2720,2574,10,1349057608.9079099
2720,2721,10,1349057615.36096
2720,2700,10,1349057629.32249
2726,35,10,1349125437.58435
2738,2676,10,1349306938.2279801
2758,242,10,1349473517.60077
242,2758,9,1349493700.12241
2176,1,10,1349649258.35062
2686,2771,9,1349718415.44136
2771,2686,9,1349720322.8115401
1948,2070,8,1349803493.16232
2788,2647,10,1349896760.05385
2786,35,10,1350026192.09013
2409,2028,10,1350339862.00864
2823,2782,10,1350396007.9890802
2828,2647,10,1350475198.6147
2693,2427,10,1350968416.91697
2214,2028,10,1351094918.77203
2884,1675,10,1351257045.3197598
2866,2688,10,1351277653.95465
2884,2028,10,1351282810.5216
905,1953,10,1351655726.02656
1629,1383,10,1352051607.95249
2812,2028,10,1352091941.7432199
2940,25,10,1352178676.038
2942,25,10,1352178691.10461
2918,1953,10,1352285048.73985
2859,2953,10,1352293975.20979
13,25,10,1352414354.1596901
2688,2028,10,1353044735.93554
3003,2733,10,1353119695.96562
3010,1953,10,1353172689.8979301
2028,2725,9,1353185488.75424
2647,2485,10,1353199592.4328198
2788,2642,10,1353264997.5961
2725,2028,10,1353286426.4551802
1555,2246,10,1353406068.0387402
2992,3027,8,1353416501.60485
2725,2733,9,1353561580.52738
1396,1566,8,1353606826.9534
2485,2647,10,1353665592.09151
304,1953,8,1353705515.06234
1953,304,8,1353705566.8815
1217,23,10,1353833182.27524
6,1363,8,1354068531.08765
6,1,8,1354068551.86893
1386,1201,10,1354079953.57965
2647,2635,10,1354136924.64082
2388,25,9,1354147925.0237
3045,25,10,1354147973.26591
3092,2896,10,1354396086.92281
224,2125,9,1354575995.26528
1675,1810,10,1354685904.62792
2817,1217,8,1354797482.52843
2647,3125,10,1354829117.45735
3086,3129,10,1354908557.98779
2725,2835,9,1355102177.21865
2642,3598,8,1355110445.2042
1743,3157,8,1355194547.46458
1743,448,10,1355195814.16555
1743,143,8,1355235776.01301
448,1743,10,1355235888.62459
2905,3018,10,1355261882.90788
1743,2013,8,1355588846.1544
2013,1743,8,1355589333.23354
2725,1731,9,1355800856.36208
2763,3198,10,1355938327.89907
3203,1271,10,1355953590.31369
1840,1185,8,1355967664.0464098
2635,2647,10,1356121690.64834
3218,3018,10,1356185113.7107599
3084,2647,9,1356279345.38453
3125,2647,10,1356295464.94367
1363,2,8,1356408279.63006
1363,245,8,1356408285.6561599
3190,25,10,1356630052.3632698
3223,3246,10,1356652110.3812099
3198,2763,10,1356768112.70293
2635,3260,10,1356877856.55742
3246,3223,10,1356915281.54353
3197,3239,10,1357181306.9003198
3197,2642,10,1357185838.8417401
2821,2028,10,1357255812.3253
3276,2642,10,1357258354.24052
2118,3281,8,1357351878.81902
3281,2118,8,1357352382.543
3236,3119,10,1357412959.2186801
3086,3260,10,1357575327.14153
2296,1403,10,1357584294.55127
2296,2388,10,1357584363.56972
2296,1363,10,1357584415.96625
2028,3293,10,1357587469.19421
2733,3293,10,1357587485.49131
3308,3219,8,1357753499.48675
2647,1953,10,1358035619.99231
2942,1810,10,1358045194.60223
363,1366,10,1358211956.1884902
3287,3333,10,1358266902.49801
3345,1656,10,1358608580.19544
1318,1656,10,1358608757.20313
2825,2635,8,1358770284.28984
