PageRank,id
0.0001389966733507318,1
0.00012469043877648832,202
0.00011742202596525958,144
9.278695890889267e-05,3996
9.154803394727113e-05,361
6.943756657515564e-05,25
6.925394333050549e-05,4172
6.41134933414092e-05,2642
6.271966290991818e-05,2568
6.270647798669896e-05,2567
5.7195691838517766e-05,1018
5.505185134755607e-05,2118
5.017384249074622e-05,2313
4.924392937891905e-05,5029
4.924392937891901e-05,678
4.924392937891878e-05,623
4.831186180976597e-05,7
4.6182412987625285e-05,3219
4.547738603530552e-05,2647
4.5135900537695244e-05,5032
4.513590053769519e-05,717
4.513590053769501e-05,200
4.2270491031724796e-05,2903
4.1404285922909486e-05,1185
4.134285901407088e-05,908
4.092517742141595e-05,1437
4.06082293570328e-05,1201
3.741990932585213e-05,2305
3.713483090635869e-05,4
3.5983226094070655e-05,35
3.4786497623528554e-05,3223
3.36259269225296e-05,57
3.339252992914199e-05,2377
3.333998298860822e-05,4291
3.259152204502937e-05,2625
3.1953296633415683e-05,4205
3.195329663341566e-05,5458
3.1953296633415656e-05,3982
3.195329663341556e-05,5590
3.195329663341556e-05,5618
3.195329663341555e-05,5619
3.195329663341552e-05,5955
3.195329663341551e-05,5958
3.195329663341547e-05,1787
3.195329663341544e-05,1779
3.195329663341542e-05,5763
3.195329663341542e-05,5759
3.195329663341542e-05,1700
3.19532966334154e-05,1708
3.19532966334154e-05,5761
3.1953296633415365e-05,5788
3.195329663341534e-05,5798
3.195329663341534e-05,5649
3.1953296633415324e-05,5507
3.195329663341532e-05,5896
3.195329663341527e-05,3483
3.1953296633415257e-05,1933
3.1953296633415216e-05,3484
3.195329663341518e-05,1291
3.1953296633415175e-05,5492
3.1953296633415175e-05,5568
3.195329663341517e-05,1277
3.195329663341513e-05,5046
3.195329663341513e-05,5132
3.1953296633415114e-05,1119
3.1953296633415094e-05,2495
3.1953296633415074e-05,1065
3.195329663341506e-05,777
3.1953296633415026e-05,768
3.1953296633415026e-05,3974
3.195329663341502e-05,1014
3.195329663341501e-05,710
3.1953296633415006e-05,2870
3.1953296633415006e-05,280
3.1953296633415e-05,1084
3.1953296633415e-05,4753
3.195329663341499e-05,5522
3.195329663341499e-05,1196
3.195329663341498e-05,1100
3.195329663341496e-05,518
3.1953296633414924e-05,769
3.19532966334149e-05,5438
3.19532966334149e-05,3815
3.195329663341487e-05,1133
3.1953296633414863e-05,847
3.195329663341484e-05,547
3.195329663341482e-05,1358
3.195329663341482e-05,814
3.1953296633414816e-05,270
3.1953296633414816e-05,2686
3.19532966334148e-05,780
3.1953296633414796e-05,5030
3.195329663341479e-05,650
3.195329663341478e-05,2241
3.195329663341474e-05,2771
3.1953296633414735e-05,651
3.1953296633414694e-05,242
3.1953296633414694e-05,571
3.1953296633414653e-05,1174
3.195329663341462e-05,1121
3.1953296633414606e-05,570
3.1953296633414606e-05,2758
3.195329663341459e-05,300
3.1953296633414565e-05,184
3.1953296633414525e-05,489
3.195329663341452e-05,529
3.1953296633414504e-05,111
3.19532966334145e-05,418
3.195329663341449e-05,720
3.195329663341447e-05,4396
3.1953296633414464e-05,2342
3.195329663341445e-05,499
3.195329663341443e-05,2370
3.195329663341442e-05,4395
3.195329663341434e-05,51
3.195329663341434e-05,451
3.1953296633414274e-05,4181
3.195329663341426e-05,4198
3.138022230319524e-05,2566
2.9533226379269297e-05,2635
2.913578300951271e-05,1615
2.8497520906358167e-05,39
2.8353484335078443e-05,2
2.6743526846805397e-05,3630
2.6146611638228712e-05,1669
2.5938211378680724e-05,1013
2.5597692674052813e-05,1386
2.533777113572172e-05,988
2.4368835769036356e-05,1953
2.4140961723786975e-05,2125
2.3596823248601477e-05,1656
2.3475366622988578e-05,1217
2.3411559270675964e-05,3377
2.203113035031916e-05,1334
2.1934197113528496e-05,4107
2.1814575580086324e-05,3260
2.1636102235105755e-05,3861
2.1273545495820255e-05,1257
2.1262996460540133e-05,801
2.1150323396171563e-05,1363
2.0611633667784355e-05,1566
2.0011155768314204e-05,230
1.9797188892769895e-05,832
1.9593953849436363e-05,2080
1.9486123107268977e-05,1948
1.93727465660014e-05,3897
1.901155881815377e-05,3552
1.8922111627347315e-05,1810
1.881761658995985e-05,3281
1.881761658995985e-05,2230
1.835610977954446e-05,2028
1.8351675129373076e-05,905
1.7957964329339035e-05,245
1.794198997191706e-05,3246
1.767002961265774e-05,4649
1.7126540194340497e-05,33
1.7109408149388922e-05,3649
1.708758345935423e-05,257
1.6940353284852836e-05,241
1.6654719111410725e-05,64
1.6332655592303493e-05,2045
1.6312345112136404e-05,60
1.6149427774198534e-05,3018
1.612959205674341e-05,3214
1.5380510897094326e-05,3735
1.5275402595939305e-05,920
1.515584098125717e-05,3598
1.5132118726126144e-05,1094
1.5031977464096184e-05,3527
1.4774599678241183e-05,41
1.4732363645797828e-05,1555
1.4612202758761698e-05,1092
1.4439303480920273e-05,215
1.4272409099185773e-05,5212
1.375754915780258e-05,415
1.3742235803616841e-05,3389
1.3565733411861717e-05,6
1.3565733411861717e-05,197
1.3565733411861717e-05,17
1.3442430285616917e-05,2347
1.3317674177007787e-05,2438
1.330505900019517e-05,2070
1.3020803564366517e-05,2349
1.2948838308037327e-05,481
1.2810333119076226e-05,23
1.2567109536206355e-05,304
1.2148851051697947e-05,2942
1.2106989737976643e-05,1731
1.1880142351512984e-05,882
1.183367035888725e-05,2683
1.1389166799121492e-05,1860
1.1212469626760569e-05,223
1.029548261628675e-05,4833
1.0124912587811976e-05,2067
1.0004962089304284e-05,13
9.920845312756006e-06,5411
9.920845312756006e-06,4499
9.714476014882041e-06,1899
9.672578412535346e-06,3429
9.640257438540453e-06,1543
9.576881501591349e-06,249
9.556793786254441e-06,135
9.405483563755204e-06,2167
9.325419305199353e-06,1316
9.265997716785635e-06,2165
9.26244369246655e-06,2485
9.226263899916435e-06,4611
9.121185569364672e-06,5299
9.049388803504862e-06,167
8.90354024862522e-06,1896
8.738352228303978e-06,1268
8.728000591586789e-06,3125
8.692544124523913e-06,21
8.681893451361706e-06,4261
8.591356911663952e-06,5014
8.548085871832714e-06,3642
8.525772243321155e-06,2246
8.390112903920946e-06,5422
8.362443477957855e-06,1396
8.336413278877367e-06,1701
8.225554686209526e-06,708
8.210310653556572e-06,2498
8.197442704028568e-06,104
8.053946234734341e-06,1492
7.994032764751499e-06,3719
7.925585771708897e-06,4899
7.874670328397864e-06,775
7.856909359146492e-06,5162
7.851542883431223e-06,823
7.841283283012555e-06,923
7.809856065790363e-06,5239
7.728896299535704e-06,2082
7.67607535490231e-06,500
7.658758523098922e-06,3293
7.5068411612116485e-06,425
7.5057755847865715e-06,1765
7.303028070760454e-06,1752
7.252357842705249e-06,1743
7.138355843108023e-06,2685
7.134480694192367e-06,5729
7.071178830813656e-06,1690
6.816818092469247e-06,2176
6.783837526388239e-06,770
6.764456921323052e-06,4635
6.6249076435015474e-06,5237
6.624907643501476e-06,2897
6.410119573314945e-06,1769
6.399053544635757e-06,4694
6.382050381659599e-06,2700
6.336859438620348e-06,2672
6.21530842734832e-06,3744
6.1502504529287094e-06,5203
6.1447258664915055e-06,492
6.140101530358496e-06,5404
6.139116934160106e-06,2188
6.088458316872569e-06,1771
5.97681814554009e-06,4257
5.858012499145392e-06,3129
5.738500607043466e-06,342
5.735057022462488e-06,2076
5.691240116218846e-06,2822
5.691240116218846e-06,4659
5.691240116218846e-06,1832
5.657573653173297e-06,1840
5.593209168489885e-06,2763
5.3874819172486194e-06,4733
5.349977561513863e-06,2127
5.324229515294081e-06,119
5.324229515294079e-06,283
5.3242295152940655e-06,3714
5.324229515294054e-06,4320
5.324229515294045e-06,465
5.3242295152940435e-06,4918
5.266364662334832e-06,5472
5.266364662334832e-06,5473
5.263754931106919e-06,178
5.263754931106919e-06,1207
5.2113024658612e-06,5240
5.175533143170967e-06,4823
5.175533143170967e-06,1191
5.056729739309846e-06,10
5.034434381106351e-06,1366
5.014072927731877e-06,4197
4.978402424768035e-06,3859
4.978402424768035e-06,1846
4.935693684349706e-06,2623
4.888965372656866e-06,5202
4.742262217727013e-06,1352
4.725511756519756e-06,856
4.718793397412628e-06,4238
4.718793397412628e-06,4144
4.718793397412628e-06,537
4.660397486706841e-06,997
4.644958024710721e-06,3488
4.644958024710721e-06,2110
4.644049154862529e-06,4400
4.638483759587287e-06,2574
4.575722389405363e-06,1204
4.575722389405363e-06,1473
4.494542900692718e-06,5929
4.494542900692718e-06,62
4.494542900692718e-06,3
4.4726238601591066e-06,2680
4.457110763155784e-06,395
4.45359551878186e-06,3837
4.31896375924397e-06,2682
4.31896375924397e-06,2684
4.307270338911738e-06,1764
4.307270338911736e-06,4559
4.30727033891173e-06,5384
4.307270338911724e-06,159
4.30727033891172e-06,732
4.307270338911701e-06,3669
4.2439684755330036e-06,3734
4.243968475533003e-06,3976
4.243968475532999e-06,3367
4.243968475532987e-06,5712
4.243968475532973e-06,5506
4.243968475532968e-06,5960
4.236331001501238e-06,2198
4.217994655841823e-06,546
4.18642617045238e-06,4393
4.158956264865501e-06,1620
4.1589562648655e-06,363
4.1589562648654916e-06,198
4.158956264865488e-06,3504
4.158956264865484e-06,1260
4.158956264865482e-06,1267
4.0235513870866505e-06,1556
4.023551387086648e-06,4884
4.023551387086648e-06,5259
4.023551387086646e-06,3725
4.0235513870866395e-06,127
4.023551387086636e-06,284
4.023551387086619e-06,5284
3.985336126167937e-06,2725
3.985336126167937e-06,2214
3.985336126167937e-06,3416
3.983845718448847e-06,2078
3.925262037305271e-06,4824
3.845522323981909e-06,2733
3.814967991905364e-06,2296
3.8014143742136403e-06,4515
3.7490078963191437e-06,922
3.7490078963191394e-06,911
3.6224666668857153e-06,2388
3.6004677500915513e-06,635
3.5898959270094998e-06,4546
3.568816818402188e-06,5201
3.5688168184021745e-06,4235
3.530473597489287e-06,2548
3.527957864116359e-06,4707
3.4944020362312566e-06,2934
3.4944020362312566e-06,2962
3.4944020362312566e-06,2017
3.436970828947234e-06,3878
3.4294513377536085e-06,1529
3.4127018092641875e-06,540
3.4127018092641596e-06,3500
3.3952121945350225e-06,16
3.3749189324567423e-06,1354
3.35337410238151e-06,2633
3.333236272143834e-06,2629
3.333236272143834e-06,2631
3.333236272143834e-06,2628
3.2959250952617397e-06,5622
3.261220726742735e-06,3198
3.247066455681464e-06,3086
3.1415775284058604e-06,8
3.1415775284058604e-06,93
3.1415775284058604e-06,490
3.1187157136483106e-06,160
3.0144852021407714e-06,3756
2.984663033735394e-06,4356
2.984663033735394e-06,4348
2.8936651612713877e-06,3813
2.8936651612713877e-06,4217
2.8936651612713877e-06,1947
2.8936651612713877e-06,81
2.8936651612713877e-06,4855
2.8936651612713877e-06,2777
2.8936651612713877e-06,5971
2.8936651612713877e-06,192
2.8936651612713873e-06,278
2.8936651612713873e-06,5551
2.8936651612713873e-06,201
2.8936651612713873e-06,2284
2.8936651612713873e-06,2543
2.8936651612713873e-06,566
2.8936651612713873e-06,4604
2.8936651612713873e-06,45
2.8936651612713873e-06,1624
2.893665161271387e-06,4482
2.893665161271387e-06,3404
2.893665161271387e-06,605
2.893665161271387e-06,484
2.8936651612713865e-06,523
2.8936651612713865e-06,2674
2.8936651612713865e-06,587
2.8936651612713865e-06,2658
2.8936651612713865e-06,840
2.8936651612713865e-06,2427
2.8936651612713865e-06,1545
2.8936651612713865e-06,3975
2.893665161271386e-06,3027
2.893665161271386e-06,5013
2.893665161271386e-06,1076
2.893665161271386e-06,4988
2.893665161271386e-06,2953
2.893665161271386e-06,3957
2.893665161271386e-06,2688
2.893665161271386e-06,2676
2.893665161271386e-06,2782
2.893665161271386e-06,5028
2.893665161271386e-06,1643
2.893665161271386e-06,554
2.893665161271386e-06,5080
2.8936651612713856e-06,1140
2.8936651612713856e-06,733
2.8936651612713856e-06,5297
2.8936651612713856e-06,4080
2.8936651612713856e-06,1271
2.8936651612713856e-06,5086
2.8936651612713856e-06,3452
2.8936651612713856e-06,2896
2.8936651612713848e-06,3119
2.8936651612713843e-06,3366
2.893665161271384e-06,3707
2.893665161271384e-06,3333
2.8936651612713835e-06,5415
2.8936651612713835e-06,5464
2.8936651612713822e-06,3738
2.893665161271381e-06,5476
2.8936651612713805e-06,2437
2.89366516127138e-06,1368
2.8936651612713797e-06,3828
2.8936651612713793e-06,4075
2.8936651612713784e-06,256
2.8936651612713784e-06,2661
2.893665161271378e-06,5521
2.893665161271377e-06,2040
2.8936651612713767e-06,3748
2.8936651612713763e-06,4925
2.8936651612713755e-06,896
2.8936651612713755e-06,3986
2.893665161271375e-06,1663
2.893665161271375e-06,545
2.8936651612713746e-06,1600
2.8936651612713746e-06,3451
2.8936651612713738e-06,1290
2.893665161271373e-06,1839
2.8936651612713725e-06,3731
2.893665161271372e-06,5612
2.8936651612713712e-06,2484
2.893665161271371e-06,5859
2.893665161271371e-06,1744
2.893665161271371e-06,1591
2.8936651612713704e-06,2404
2.89366516127137e-06,5439
2.89366516127137e-06,5826
2.893665161271369e-06,2262
2.8936651612713683e-06,5227
2.893665161271368e-06,2079
2.893665161271368e-06,4007
2.8936651612713666e-06,3990
2.8936651612713666e-06,5845
2.893665161271366e-06,3168
2.8936651612713657e-06,1957
2.8936651612713657e-06,1855
2.866148357898222e-06,5602
2.8661483578982216e-06,5623
2.865805845565327e-06,3157
2.865805845565327e-06,2013
2.865805845565327e-06,448
2.865805845565327e-06,143
2.862014229582022e-06,593
2.8332430770417178e-06,3898
2.8332430770417178e-06,3723
2.833243077041717e-06,3490
2.8332430770417152e-06,4354
2.833243077041708e-06,3689
2.833243077041708e-06,4098
2.820787766145512e-06,3757
2.8043894782014722e-06,921
2.8043894782014722e-06,1328
2.8043894782014714e-06,4639
2.8043894782014693e-06,5163
2.8043894782014693e-06,1261
2.8043894782014693e-06,1037
2.8043894782014693e-06,1166
2.8043894782014684e-06,534
2.8043894782014684e-06,959
2.8043894782014633e-06,722
2.8043894782014633e-06,2200
2.7536828884621447e-06,1877
2.7536768560668194e-06,2571
2.690689415603948e-06,2632
2.6667794065416882e-06,1318
2.6465715135613263e-06,2671
2.5244384010166046e-06,2622
2.5058941811221476e-06,1317
2.5058941811221476e-06,309
2.4477462857794642e-06,4669
2.4319171463415585e-06,2835
2.4064394167881013e-06,2670
2.4064394167880987e-06,5606
2.4064394167880983e-06,3470
2.375360667402991e-06,894
2.375360667402991e-06,1122
2.375360667402991e-06,606
2.375360667402991e-06,953
2.375360667402991e-06,548
2.375360667402991e-06,1326
2.3450947980410525e-06,3025
2.3286812512679992e-06,3876
2.3286812512679992e-06,5790
2.3218929038773626e-06,3562
2.2618794232435155e-06,4661
2.2088614892453817e-06,1403
2.2088614892453817e-06,4119
2.186862572451204e-06,2601
2.186862572451204e-06,2585
2.1868625724512034e-06,4735
2.1868625724512034e-06,5824
2.1868625724512034e-06,4569
2.1868625724512034e-06,2266
2.186862572451203e-06,5204
2.186862572451203e-06,530
2.186862572451203e-06,1501
2.186862572451203e-06,1068
2.186862572451203e-06,5200
2.186862572451203e-06,101
2.1868625724512025e-06,20
2.1868625724512025e-06,109
2.1868625724512025e-06,3239
2.186862572451202e-06,1383
2.186862572451202e-06,1675
2.186862572451202e-06,610
2.1868625724512017e-06,3820
2.1868625724512017e-06,1098
2.1868625724512017e-06,2838
2.1868625724512017e-06,1802
2.1868625724512013e-06,3445
2.1868625724512013e-06,3555
2.1868625724512013e-06,3699
2.1168684198489285e-06,2634
2.1168684198489285e-06,2570
2.1168684198489285e-06,2666
2.0412819304619207e-06,3567
2.0412819304619207e-06,3569
2.026278560303459e-06,4667
2.026278560303459e-06,4668
2.0233656513069046e-06,475
2.0233656513069046e-06,626
2.0233656513069037e-06,3888
2.0233656513069037e-06,3781
2.0233656513069037e-06,3208
2.0233656513069037e-06,4035
2.0233656513069037e-06,3655
2.019393815597154e-06,3759
1.9512617095111473e-06,5720
1.951261709511147e-06,4662
1.951261709511147e-06,4646
1.951261709511147e-06,4663
1.951261709511147e-06,2721
1.9512617095111456e-06,3724
1.9512617095111456e-06,4036
1.9512617095111456e-06,1340
1.9397689247411606e-06,2669
1.9397689247411606e-06,2657
1.93976892474116e-06,5661
1.93976892474116e-06,5806
1.93976892474116e-06,5762
1.8334612780411195e-06,2419
1.8334612780411195e-06,2158
1.8334612780411178e-06,1046
1.8334612780411178e-06,134
1.7769305962723079e-06,3394
1.7769305962723079e-06,3736
1.7769305962723079e-06,2173
1.7769305962723079e-06,3760
1.7769305962723079e-06,1670
1.7769305962723079e-06,493
1.7769305962723079e-06,29
1.7769305962723079e-06,535
1.7769305962723079e-06,3408
1.7769305962723079e-06,1967
1.7627810191591034e-06,3565
1.7627810191591034e-06,3564
1.7627810191591034e-06,3566
1.7627810191591034e-06,3563
1.7156608465710912e-06,4654
1.7156608465710912e-06,4666
1.7156608465710912e-06,4522
1.7156608465710908e-06,2142
1.7156608465710908e-06,1689
1.7156608465710908e-06,3545
1.480059983631042e-06,486
1.480059983631042e-06,3554
1.480059983631042e-06,5025
1.4800599836310372e-06,5413
1.4800599836310372e-06,585
1.4800599836310372e-06,410
1.4800599836310372e-06,3800
1.4800599836310372e-06,2817
1.4800599836310372e-06,2821
1.4800599836310372e-06,4367
1.4800599836310372e-06,3785
1.4800599836310372e-06,4680
1.4800599836310372e-06,2823
1.4800599836310372e-06,1759
1.4800599836310372e-06,778
1.4800599836310372e-06,3776
1.4800599836310372e-06,1719
1.4800599836310372e-06,2825
1.4800599836310372e-06,4266
1.4800599836310372e-06,2828
1.4800599836310372e-06,786
1.4800599836310372e-06,3804
1.4800599836310372e-06,1763
1.4800599836310372e-06,2784
1.4800599836310372e-06,753
1.4800599836310372e-06,5890
1.4800599836310372e-06,4458
1.4800599836310372e-06,2786
1.4800599836310372e-06,3829
1.4800599836310372e-06,2788
1.4800599836310372e-06,747
1.4800599836310372e-06,1774
1.4800599836310372e-06,760
1.4800599836310372e-06,224
1.4800599836310372e-06,2812
1.4800599836310372e-06,2240
1.4800599836310372e-06,397
1.4800599836310372e-06,3816
1.4800599836310372e-06,4281
1.4800599836310372e-06,5862
1.4800599836310372e-06,2451
1.4800599836310372e-06,4900
1.4800599836310372e-06,2470
1.4800599836310372e-06,2859
1.4800599836310372e-06,5015
1.4800599836310372e-06,899
1.4800599836310372e-06,4531
1.4800599836310372e-06,2961
1.4800599836310372e-06,2966
1.4800599836310372e-06,4664
1.4800599836310372e-06,2616
1.4800599836310372e-06,4365
1.4800599836310372e-06,4245
1.4800599836310372e-06,2073
1.4800599836310372e-06,5027
1.4800599836310372e-06,1662
1.4800599836310372e-06,149
1.4800599836310372e-06,3704
1.4800599836310372e-06,1657
1.4800599836310372e-06,4240
1.4800599836310372e-06,935
1.4800599836310372e-06,4322
1.4800599836310372e-06,2940
1.4800599836310372e-06,2918
1.4800599836310372e-06,2905
1.4800599836310372e-06,4519
1.4800599836310372e-06,4121
1.4800599836310372e-06,3746
1.4800599836310372e-06,2472
1.4800599836310372e-06,5791
1.4800599836310372e-06,2866
1.4800599836310372e-06,581
1.4800599836310372e-06,824
1.4800599836310372e-06,4521
1.4800599836310372e-06,4921
1.4800599836310372e-06,576
1.4800599836310372e-06,2884
1.4800599836310372e-06,4524
1.4800599836310372e-06,1685
1.4800599836310372e-06,3732
1.4800599836310372e-06,588
1.4800599836310372e-06,5899
1.4800599836310372e-06,3695
1.4800599836310372e-06,2699
1.4800599836310372e-06,4015
1.4800599836310372e-06,602
1.4800599836310372e-06,219
1.4800599836310372e-06,2693
1.4800599836310372e-06,4004
1.4800599836310372e-06,2344
1.4800599836310372e-06,4308
1.4800599836310372e-06,2644
1.4800599836310372e-06,4030
1.4800599836310372e-06,4304
1.4800599836310372e-06,3987
1.4800599836310372e-06,660
1.4800599836310372e-06,9
1.4800599836310372e-06,2711
1.4800599836310372e-06,313
1.4800599836310372e-06,2720
1.4800599836310372e-06,4029
1.4800599836310372e-06,1984
1.4800599836310372e-06,19
1.4800599836310372e-06,2014
1.4800599836310372e-06,2665
1.4800599836310372e-06,2659
1.4800599836310372e-06,628
1.4800599836310372e-06,2675
1.4800599836310372e-06,2026
1.4800599836310372e-06,2019
1.4800599836310372e-06,2678
1.4800599836310372e-06,4729
1.4800599836310372e-06,4698
1.4800599836310372e-06,4059
1.4800599836310372e-06,4054
1.4800599836310372e-06,4052
1.4800599836310372e-06,4047
1.4800599836310372e-06,1995
1.4800599836310372e-06,4038
1.4800599836310372e-06,636
1.4800599836310372e-06,4415
1.4800599836310372e-06,3973
1.4800599836310372e-06,3972
1.4800599836310372e-06,4369
1.4800599836310372e-06,4806
1.4800599836310372e-06,4812
1.4800599836310372e-06,3887
1.4800599836310372e-06,353
1.4800599836310372e-06,721
1.4800599836310372e-06,2770
1.4800599836310372e-06,3881
1.4800599836310372e-06,4681
1.4800599836310372e-06,4301
1.4800599836310372e-06,1829
1.4800599836310372e-06,2637
1.4800599836310372e-06,3875
1.4800599836310372e-06,1819
1.4800599836310372e-06,1815
1.4800599836310372e-06,4828
1.4800599836310372e-06,2409
1.4800599836310372e-06,3896
1.4800599836310372e-06,340
1.4800599836310372e-06,4791
1.4800599836310372e-06,3903
1.4800599836310372e-06,5999
1.4800599836310372e-06,279
1.4800599836310372e-06,4421
1.4800599836310372e-06,3928
1.4800599836310372e-06,1878
1.4800599836310372e-06,2726
1.4800599836310372e-06,687
1.4800599836310372e-06,3917
1.4800599836310372e-06,5963
1.4800599836310372e-06,2738
1.4800599836310372e-06,2063
1.4800599836310372e-06,5956
1.4800599836310372e-06,330
1.4800599836310372e-06,4112
1.4800599836310372e-06,691
1.4800599836310372e-06,1648
1.4800599836310372e-06,5036
1.4800599836310372e-06,4609
1.4800599836310372e-06,3456
1.4800599836310372e-06,5524
1.4800599836310372e-06,71
1.4800599836310372e-06,3211
1.4800599836310372e-06,3218
1.4800599836310372e-06,3465
1.4800599836310372e-06,4168
1.4800599836310372e-06,4219
1.4800599836310372e-06,533
1.4800599836310372e-06,4163
1.4800599836310372e-06,3236
1.4800599836310372e-06,3237
1.4800599836310372e-06,2540
1.4800599836310372e-06,4212
1.4800599836310372e-06,4590
1.4800599836310372e-06,1394
1.4800599836310372e-06,5489
1.4800599836310372e-06,4164
1.4800599836310372e-06,3203
1.4800599836310372e-06,5221
1.4800599836310372e-06,3511
1.4800599836310372e-06,1487
1.4800599836310372e-06,4573
1.4800599836310372e-06,1478
1.4800599836310372e-06,3525
1.4800599836310372e-06,4579
1.4800599836310372e-06,5234
1.4800599836310372e-06,5560
1.4800599836310372e-06,1139
1.4800599836310372e-06,3487
1.4800599836310372e-06,5235
1.4800599836310372e-06,5549
1.4800599836310372e-06,3190
1.4800599836310372e-06,3498
1.4800599836310372e-06,4631
1.4800599836310372e-06,3489
1.4800599836310372e-06,3197
1.4800599836310372e-06,5480
1.4800599836310372e-06,80
1.4800599836310372e-06,1385
1.4800599836310372e-06,4353
1.4800599836310372e-06,3308
1.4800599836310372e-06,3395
1.4800599836310372e-06,5442
1.4800599836310372e-06,5441
1.4800599836310372e-06,1285
1.4800599836310372e-06,88
1.4800599836310372e-06,2549
1.4800599836310372e-06,5433
1.4800599836310372e-06,1384
1.4800599836310372e-06,2144
1.4800599836310372e-06,3345
1.4800599836310372e-06,5399
1.4800599836310372e-06,5403
1.4800599836310372e-06,4612
1.4800599836310372e-06,5420
1.4800599836310372e-06,3363
1.4800599836310372e-06,5353
1.4800599836310372e-06,520
1.4800599836310372e-06,2303
1.4800599836310372e-06,3287
1.4800599836310372e-06,113
1.4800599836310372e-06,4591
1.4800599836310372e-06,1381
1.4800599836310372e-06,4615
1.4800599836310372e-06,4592
1.4800599836310372e-06,2569
1.4800599836310372e-06,5309
1.4800599836310372e-06,3264
1.4800599836310372e-06,3276
1.4800599836310372e-06,3414
1.4800599836310372e-06,4594
1.4800599836310372e-06,2128
1.4800599836310372e-06,3278
1.4800599836310372e-06,1232
1.4800599836310372e-06,2132
1.4800599836310372e-06,3539
1.4800599836310372e-06,61
1.4800599836310372e-06,2992
1.4800599836310372e-06,1572
1.4800599836310372e-06,4553
1.4800599836310372e-06,5096
1.4800599836310372e-06,3646
1.4800599836310372e-06,2507
1.4800599836310372e-06,3056
1.4800599836310372e-06,1585
1.4800599836310372e-06,4136
1.4800599836310372e-06,1012
1.4800599836310372e-06,3660
1.4800599836310372e-06,1568
1.4800599836310372e-06,3615
1.4800599836310372e-06,4141
1.4800599836310372e-06,1565
1.4800599836310372e-06,5655
1.4800599836310372e-06,2603
1.4800599836310372e-06,2512
1.4800599836310372e-06,3045
1.4800599836310372e-06,4237
1.4800599836310372e-06,1125
1.4800599836310372e-06,1629
1.4800599836310372e-06,5732
1.4800599836310372e-06,5731
1.4800599836310372e-06,5730
1.4800599836310372e-06,950
1.4800599836310372e-06,3678
1.4800599836310372e-06,1631
1.4800599836310372e-06,1630
1.4800599836310372e-06,3003
1.4800599836310372e-06,2087
1.4800599836310372e-06,3010
1.4800599836310372e-06,5719
1.4800599836310372e-06,2311
1.4800599836310372e-06,5717
1.4800599836310372e-06,977
1.4800599836310372e-06,3665
1.4800599836310372e-06,4549
1.4800599836310372e-06,1023
1.4800599836310372e-06,5648
1.4800599836310372e-06,468
1.4800599836310372e-06,2592
1.4800599836310372e-06,1074
1.4800599836310372e-06,237
1.4800599836310372e-06,4226
1.4800599836310372e-06,1095
1.4800599836310372e-06,5609
1.4800599836310372e-06,5193
1.4800599836310372e-06,3558
1.4800599836310372e-06,3556
1.4800599836310372e-06,1550
1.4800599836310372e-06,1109
1.4800599836310372e-06,3161
1.4800599836310372e-06,3553
1.4800599836310372e-06,2523
1.4800599836310372e-06,5598
1.4800599836310372e-06,2174
1.4800599836310372e-06,3547
1.4800599836310372e-06,132
1.4800599836310372e-06,3099
1.4800599836310372e-06,5614
1.4800599836310372e-06,3092
1.4800599836310372e-06,1024
1.4800599836310372e-06,3591
1.4800599836310372e-06,2516
1.4800599836310372e-06,1541
1.4800599836310372e-06,5636
1.4800599836310372e-06,1026
1.4800599836310372e-06,1027
1.4800599836310372e-06,5129
1.4800599836310372e-06,1528
1.4800599836310372e-06,3084
1.4800599836310372e-06,4150
1.4800599836310372e-06,5615
1.4800599836310372e-06,3572
1.4800599836310372e-06,3571
1.4800599836310372e-06,3570
1.4800599836310372e-06,3397
